"","subject","activity","measurement","value"
"1",2,"standing","tBodyAcc-mean()-X",0.25717778
"2",2,"standing","tBodyAcc-mean()-X",0.28602671
"3",2,"standing","tBodyAcc-mean()-X",0.27548482
"4",2,"standing","tBodyAcc-mean()-X",0.27029822
"5",2,"standing","tBodyAcc-mean()-X",0.27483295
"6",2,"standing","tBodyAcc-mean()-X",0.27921995
"7",2,"standing","tBodyAcc-mean()-X",0.27974586
"8",2,"standing","tBodyAcc-mean()-X",0.27460055
"9",2,"standing","tBodyAcc-mean()-X",0.27252874
"10",2,"standing","tBodyAcc-mean()-X",0.2757457
"11",2,"standing","tBodyAcc-mean()-X",0.27859589
"12",2,"standing","tBodyAcc-mean()-X",0.27915178
"13",2,"standing","tBodyAcc-mean()-X",0.27454383
"14",2,"standing","tBodyAcc-mean()-X",0.26906631
"15",2,"standing","tBodyAcc-mean()-X",0.27557925
"16",2,"standing","tBodyAcc-mean()-X",0.28193083
"17",2,"standing","tBodyAcc-mean()-X",0.31107792
"18",2,"standing","tBodyAcc-mean()-X",0.26232825
"19",2,"standing","tBodyAcc-mean()-X",0.28841575
"20",2,"standing","tBodyAcc-mean()-X",0.27116593
"21",2,"standing","tBodyAcc-mean()-X",0.25309467
"22",2,"standing","tBodyAcc-mean()-X",0.27133883
"23",2,"standing","tBodyAcc-mean()-X",0.29926682
"24",2,"standing","tBodyAcc-mean()-X",0.29389749
"25",2,"standing","tBodyAcc-mean()-X",0.27563911
"26",2,"standing","tBodyAcc-mean()-X",0.27225459
"27",2,"standing","tBodyAcc-mean()-X",0.27642711
"28",2,"standing","tBodyAcc-mean()-X",0.28016952
"29",2,"standing","tBodyAcc-mean()-X",0.27746102
"30",2,"standing","tBodyAcc-mean()-X",0.28837469
"31",2,"standing","tBodyAcc-mean()-X",0.28590496
"32",2,"sitting","tBodyAcc-mean()-X",0.29648714
"33",2,"sitting","tBodyAcc-mean()-X",0.27723542
"34",2,"sitting","tBodyAcc-mean()-X",0.2782907
"35",2,"sitting","tBodyAcc-mean()-X",0.27815992
"36",2,"sitting","tBodyAcc-mean()-X",0.27664638
"37",2,"sitting","tBodyAcc-mean()-X",0.27829493
"38",2,"sitting","tBodyAcc-mean()-X",0.27505303
"39",2,"sitting","tBodyAcc-mean()-X",0.27486428
"40",2,"sitting","tBodyAcc-mean()-X",0.27871074
"41",2,"sitting","tBodyAcc-mean()-X",0.27822455
"42",2,"sitting","tBodyAcc-mean()-X",0.27625455
"43",2,"sitting","tBodyAcc-mean()-X",0.27574674
"44",2,"sitting","tBodyAcc-mean()-X",0.28028279
"45",2,"sitting","tBodyAcc-mean()-X",0.28540286
"46",2,"sitting","tBodyAcc-mean()-X",0.27047249
"47",2,"sitting","tBodyAcc-mean()-X",0.28022445
"48",2,"sitting","tBodyAcc-mean()-X",0.27724091
"49",2,"sitting","tBodyAcc-mean()-X",0.27925474
"50",2,"sitting","tBodyAcc-mean()-X",0.27981772
"51",2,"sitting","tBodyAcc-mean()-X",0.27579491
"52",2,"sitting","tBodyAcc-mean()-X",0.27379132
"53",2,"sitting","tBodyAcc-mean()-X",0.27609539
"54",2,"sitting","tBodyAcc-mean()-X",0.27767523
"55",2,"sitting","tBodyAcc-mean()-X",0.27679437
"56",2,"laying","tBodyAcc-mean()-X",0.17376905
"57",2,"laying","tBodyAcc-mean()-X",0.3009048
"58",2,"laying","tBodyAcc-mean()-X",0.28567994
"59",2,"laying","tBodyAcc-mean()-X",0.27205902
"60",2,"laying","tBodyAcc-mean()-X",0.27631974
"61",2,"laying","tBodyAcc-mean()-X",0.27869543
"62",2,"laying","tBodyAcc-mean()-X",0.28026202
"63",2,"laying","tBodyAcc-mean()-X",0.29238966
"64",2,"laying","tBodyAcc-mean()-X",0.29089459
"65",2,"laying","tBodyAcc-mean()-X",0.27191593
"66",2,"laying","tBodyAcc-mean()-X",0.29301384
"67",2,"laying","tBodyAcc-mean()-X",0.33999093
"68",2,"laying","tBodyAcc-mean()-X",0.32773332
"69",2,"laying","tBodyAcc-mean()-X",0.26238254
"70",2,"laying","tBodyAcc-mean()-X",0.29490692
"71",2,"laying","tBodyAcc-mean()-X",0.2673108
"72",2,"laying","tBodyAcc-mean()-X",0.29493279
"73",2,"laying","tBodyAcc-mean()-X",0.2843065
"74",2,"laying","tBodyAcc-mean()-X",0.27747775
"75",2,"laying","tBodyAcc-mean()-X",0.31454279
"76",2,"laying","tBodyAcc-mean()-X",0.27616038
"77",2,"laying","tBodyAcc-mean()-X",0.27628845
"78",2,"laying","tBodyAcc-mean()-X",0.323685
"79",2,"laying","tBodyAcc-mean()-X",0.27524826
"80",2,"walking","tBodyAcc-mean()-X",0.20396243
"81",2,"walking","tBodyAcc-mean()-X",0.24934321
"82",2,"walking","tBodyAcc-mean()-X",0.32505052
"83",2,"walking","tBodyAcc-mean()-X",0.30880812
"84",2,"walking","tBodyAcc-mean()-X",0.26559921
"85",2,"walking","tBodyAcc-mean()-X",0.18741915
"86",2,"walking","tBodyAcc-mean()-X",0.28420274
"87",2,"walking","tBodyAcc-mean()-X",0.35782982
"88",2,"walking","tBodyAcc-mean()-X",0.31870911
"89",2,"walking","tBodyAcc-mean()-X",0.32008469
"90",2,"walking","tBodyAcc-mean()-X",0.19317016
"91",2,"walking","tBodyAcc-mean()-X",0.19471487
"92",2,"walking","tBodyAcc-mean()-X",0.34969095
"93",2,"walking","tBodyAcc-mean()-X",0.30870458
"94",2,"walking","tBodyAcc-mean()-X",0.21102476
"95",2,"walking","tBodyAcc-mean()-X",0.29771925
"96",2,"walking","tBodyAcc-mean()-X",0.33314426
"97",2,"walking","tBodyAcc-mean()-X",0.22981714
"98",2,"walking","tBodyAcc-mean()-X",0.23748279
"99",2,"walking","tBodyAcc-mean()-X",0.33150518
"100",2,"walking","tBodyAcc-mean()-X",0.26663115
"101",2,"walking","tBodyAcc-mean()-X",0.24042087
"102",2,"walking","tBodyAcc-mean()-X",0.29112809
"103",2,"walking","tBodyAcc-mean()-X",0.35552927
"104",2,"walking","tBodyAcc-mean()-X",0.28744253
"105",2,"walking","tBodyAcc-mean()-X",0.1844141
"106",2,"walking","tBodyAcc-mean()-X",0.25204831
"107",2,"walking","tBodyAcc-mean()-X",0.33806106
"108",2,"walking","tBodyAcc-mean()-X",0.29030031
"109",2,"walking","tBodyAcc-mean()-X",0.26086953
"110",2,"walking downstairs","tBodyAcc-mean()-X",0.39276304
"111",2,"walking downstairs","tBodyAcc-mean()-X",0.33322745
"112",2,"walking downstairs","tBodyAcc-mean()-X",0.31615359
"113",2,"walking downstairs","tBodyAcc-mean()-X",0.15366105
"114",2,"walking downstairs","tBodyAcc-mean()-X",0.071035289
"115",2,"walking downstairs","tBodyAcc-mean()-X",0.33304231
"116",2,"walking downstairs","tBodyAcc-mean()-X",0.27579996
"117",2,"walking downstairs","tBodyAcc-mean()-X",0.27138623
"118",2,"walking downstairs","tBodyAcc-mean()-X",0.42604818
"119",2,"walking downstairs","tBodyAcc-mean()-X",0.2856233
"120",2,"walking downstairs","tBodyAcc-mean()-X",0.35480453
"121",2,"walking downstairs","tBodyAcc-mean()-X",0.39558207
"122",2,"walking downstairs","tBodyAcc-mean()-X",0.22715659
"123",2,"walking downstairs","tBodyAcc-mean()-X",0.23483919
"124",2,"walking downstairs","tBodyAcc-mean()-X",0.23820197
"125",2,"walking downstairs","tBodyAcc-mean()-X",0.27873663
"126",2,"walking downstairs","tBodyAcc-mean()-X",0.26374279
"127",2,"walking downstairs","tBodyAcc-mean()-X",0.30133385
"128",2,"walking downstairs","tBodyAcc-mean()-X",0.28026398
"129",2,"walking downstairs","tBodyAcc-mean()-X",0.24393099
"130",2,"walking downstairs","tBodyAcc-mean()-X",0.28433754
"131",2,"walking downstairs","tBodyAcc-mean()-X",0.41085939
"132",2,"walking downstairs","tBodyAcc-mean()-X",0.17766532
"133",2,"walking downstairs","tBodyAcc-mean()-X",0.20574701
"134",2,"walking upstairs","tBodyAcc-mean()-X",0.25186651
"135",2,"walking upstairs","tBodyAcc-mean()-X",0.20906379
"136",2,"walking upstairs","tBodyAcc-mean()-X",0.23655703
"137",2,"walking upstairs","tBodyAcc-mean()-X",0.24274255
"138",2,"walking upstairs","tBodyAcc-mean()-X",0.28158555
"139",2,"walking upstairs","tBodyAcc-mean()-X",0.18214828
"140",2,"walking upstairs","tBodyAcc-mean()-X",0.1821957
"141",2,"walking upstairs","tBodyAcc-mean()-X",0.31178044
"142",2,"walking upstairs","tBodyAcc-mean()-X",0.25615464
"143",2,"walking upstairs","tBodyAcc-mean()-X",0.078156973
"144",2,"walking upstairs","tBodyAcc-mean()-X",0.17991522
"145",2,"walking upstairs","tBodyAcc-mean()-X",0.28509055
"146",2,"walking upstairs","tBodyAcc-mean()-X",0.28495022
"147",2,"walking upstairs","tBodyAcc-mean()-X",0.1982599
"148",2,"walking upstairs","tBodyAcc-mean()-X",0.25100692
"149",2,"walking upstairs","tBodyAcc-mean()-X",0.26889811
"150",2,"walking upstairs","tBodyAcc-mean()-X",0.14838783
"151",2,"walking upstairs","tBodyAcc-mean()-X",0.073728786
"152",2,"walking upstairs","tBodyAcc-mean()-X",0.28020794
"153",2,"walking upstairs","tBodyAcc-mean()-X",0.27452047
"154",2,"walking upstairs","tBodyAcc-mean()-X",0.24402748
"155",2,"walking upstairs","tBodyAcc-mean()-X",0.2858303
"156",2,"walking upstairs","tBodyAcc-mean()-X",0.23646561
"157",2,"walking upstairs","tBodyAcc-mean()-X",0.2388571
"158",2,"walking upstairs","tBodyAcc-mean()-X",0.29475553
"159",2,"standing","tBodyAcc-mean()-X",0.21881237
"160",2,"standing","tBodyAcc-mean()-X",0.28767511
"161",2,"standing","tBodyAcc-mean()-X",0.28732862
"162",2,"standing","tBodyAcc-mean()-X",0.27273142
"163",2,"standing","tBodyAcc-mean()-X",0.2758409
"164",2,"standing","tBodyAcc-mean()-X",0.27860714
"165",2,"standing","tBodyAcc-mean()-X",0.27627058
"166",2,"standing","tBodyAcc-mean()-X",0.27848792
"167",2,"standing","tBodyAcc-mean()-X",0.28021898
"168",2,"standing","tBodyAcc-mean()-X",0.27811098
"169",2,"standing","tBodyAcc-mean()-X",0.27143024
"170",2,"standing","tBodyAcc-mean()-X",0.33014802
"171",2,"standing","tBodyAcc-mean()-X",0.27746452
"172",2,"standing","tBodyAcc-mean()-X",0.27972876
"173",2,"standing","tBodyAcc-mean()-X",0.27941259
"174",2,"standing","tBodyAcc-mean()-X",0.27740299
"175",2,"standing","tBodyAcc-mean()-X",0.27792121
"176",2,"standing","tBodyAcc-mean()-X",0.27704497
"177",2,"standing","tBodyAcc-mean()-X",0.27295758
"178",2,"standing","tBodyAcc-mean()-X",0.27204575
"179",2,"standing","tBodyAcc-mean()-X",0.28245689
"180",2,"standing","tBodyAcc-mean()-X",0.28722297
"181",2,"standing","tBodyAcc-mean()-X",0.27655316
"182",2,"sitting","tBodyAcc-mean()-X",0.23981797
"183",2,"sitting","tBodyAcc-mean()-X",0.23157481
"184",2,"sitting","tBodyAcc-mean()-X",0.27074746
"185",2,"sitting","tBodyAcc-mean()-X",0.27160041
"186",2,"sitting","tBodyAcc-mean()-X",0.2689962
"187",2,"sitting","tBodyAcc-mean()-X",0.27479909
"188",2,"sitting","tBodyAcc-mean()-X",0.27879967
"189",2,"sitting","tBodyAcc-mean()-X",0.27524573
"190",2,"sitting","tBodyAcc-mean()-X",0.27566806
"191",2,"sitting","tBodyAcc-mean()-X",0.26569797
"192",2,"sitting","tBodyAcc-mean()-X",0.27097605
"193",2,"sitting","tBodyAcc-mean()-X",0.41364162
"194",2,"sitting","tBodyAcc-mean()-X",0.24841948
"195",2,"sitting","tBodyAcc-mean()-X",0.28431213
"196",2,"sitting","tBodyAcc-mean()-X",0.26632973
"197",2,"sitting","tBodyAcc-mean()-X",0.26902515
"198",2,"sitting","tBodyAcc-mean()-X",0.27804665
"199",2,"sitting","tBodyAcc-mean()-X",0.27542397
"200",2,"sitting","tBodyAcc-mean()-X",0.27933873
"201",2,"sitting","tBodyAcc-mean()-X",0.2820615
"202",2,"sitting","tBodyAcc-mean()-X",0.27327371
"203",2,"sitting","tBodyAcc-mean()-X",0.27540653
"204",2,"laying","tBodyAcc-mean()-X",0.28764759
"205",2,"laying","tBodyAcc-mean()-X",0.28981652
"206",2,"laying","tBodyAcc-mean()-X",0.23247724
"207",2,"laying","tBodyAcc-mean()-X",0.28001074
"208",2,"laying","tBodyAcc-mean()-X",0.2889269
"209",2,"laying","tBodyAcc-mean()-X",0.27077035
"210",2,"laying","tBodyAcc-mean()-X",0.25720873
"211",2,"laying","tBodyAcc-mean()-X",0.26881216
"212",2,"laying","tBodyAcc-mean()-X",0.28168951
"213",2,"laying","tBodyAcc-mean()-X",0.29122454
"214",2,"laying","tBodyAcc-mean()-X",0.28651908
"215",2,"laying","tBodyAcc-mean()-X",0.25854868
"216",2,"laying","tBodyAcc-mean()-X",0.3038402
"217",2,"laying","tBodyAcc-mean()-X",0.30362162
"218",2,"laying","tBodyAcc-mean()-X",0.28786223
"219",2,"laying","tBodyAcc-mean()-X",0.28312886
"220",2,"laying","tBodyAcc-mean()-X",0.28062969
"221",2,"laying","tBodyAcc-mean()-X",0.27683403
"222",2,"laying","tBodyAcc-mean()-X",0.27066724
"223",2,"laying","tBodyAcc-mean()-X",0.27326045
"224",2,"laying","tBodyAcc-mean()-X",0.27398753
"225",2,"laying","tBodyAcc-mean()-X",0.27585859
"226",2,"laying","tBodyAcc-mean()-X",0.27714817
"227",2,"laying","tBodyAcc-mean()-X",0.27456229
"228",2,"walking","tBodyAcc-mean()-X",0.24860491
"229",2,"walking","tBodyAcc-mean()-X",0.21690075
"230",2,"walking","tBodyAcc-mean()-X",0.26222243
"231",2,"walking","tBodyAcc-mean()-X",0.29659805
"232",2,"walking","tBodyAcc-mean()-X",0.24016527
"233",2,"walking","tBodyAcc-mean()-X",0.31286994
"234",2,"walking","tBodyAcc-mean()-X",0.31649338
"235",2,"walking","tBodyAcc-mean()-X",0.20894174
"236",2,"walking","tBodyAcc-mean()-X",0.27124829
"237",2,"walking","tBodyAcc-mean()-X",0.35341932
"238",2,"walking","tBodyAcc-mean()-X",0.22839376
"239",2,"walking","tBodyAcc-mean()-X",0.21535112
"240",2,"walking","tBodyAcc-mean()-X",0.32555586
"241",2,"walking","tBodyAcc-mean()-X",0.36545296
"242",2,"walking","tBodyAcc-mean()-X",0.26780915
"243",2,"walking","tBodyAcc-mean()-X",0.34002771
"244",2,"walking","tBodyAcc-mean()-X",0.26426913
"245",2,"walking","tBodyAcc-mean()-X",0.26580166
"246",2,"walking","tBodyAcc-mean()-X",0.25477841
"247",2,"walking","tBodyAcc-mean()-X",0.22294492
"248",2,"walking","tBodyAcc-mean()-X",0.37962251
"249",2,"walking","tBodyAcc-mean()-X",0.27911103
"250",2,"walking","tBodyAcc-mean()-X",0.26173982
"251",2,"walking","tBodyAcc-mean()-X",0.32915435
"252",2,"walking","tBodyAcc-mean()-X",0.19549619
"253",2,"walking","tBodyAcc-mean()-X",0.24387
"254",2,"walking","tBodyAcc-mean()-X",0.32955877
"255",2,"walking","tBodyAcc-mean()-X",0.28806864
"256",2,"walking","tBodyAcc-mean()-X",0.24987037
"257",2,"walking downstairs","tBodyAcc-mean()-X",0.31930656
"258",2,"walking downstairs","tBodyAcc-mean()-X",0.12592012
"259",2,"walking downstairs","tBodyAcc-mean()-X",0.29997571
"260",2,"walking downstairs","tBodyAcc-mean()-X",0.26012783
"261",2,"walking downstairs","tBodyAcc-mean()-X",0.2871613
"262",2,"walking downstairs","tBodyAcc-mean()-X",0.32958399
"263",2,"walking downstairs","tBodyAcc-mean()-X",0.25184336
"264",2,"walking downstairs","tBodyAcc-mean()-X",0.24829116
"265",2,"walking downstairs","tBodyAcc-mean()-X",0.26160863
"266",2,"walking downstairs","tBodyAcc-mean()-X",0.29960665
"267",2,"walking downstairs","tBodyAcc-mean()-X",0.25953975
"268",2,"walking downstairs","tBodyAcc-mean()-X",0.25308441
"269",2,"walking downstairs","tBodyAcc-mean()-X",0.26156636
"270",2,"walking downstairs","tBodyAcc-mean()-X",0.31001933
"271",2,"walking downstairs","tBodyAcc-mean()-X",0.19842455
"272",2,"walking downstairs","tBodyAcc-mean()-X",0.22867274
"273",2,"walking downstairs","tBodyAcc-mean()-X",0.4228405
"274",2,"walking downstairs","tBodyAcc-mean()-X",0.28711862
"275",2,"walking downstairs","tBodyAcc-mean()-X",0.10222138
"276",2,"walking downstairs","tBodyAcc-mean()-X",0.21485672
"277",2,"walking downstairs","tBodyAcc-mean()-X",0.46767458
"278",2,"walking downstairs","tBodyAcc-mean()-X",0.30835585
"279",2,"walking downstairs","tBodyAcc-mean()-X",0.29417901
"280",2,"walking upstairs","tBodyAcc-mean()-X",0.20731083
"281",2,"walking upstairs","tBodyAcc-mean()-X",0.36261593
"282",2,"walking upstairs","tBodyAcc-mean()-X",0.27816503
"283",2,"walking upstairs","tBodyAcc-mean()-X",0.2563942
"284",2,"walking upstairs","tBodyAcc-mean()-X",0.24683451
"285",2,"walking upstairs","tBodyAcc-mean()-X",0.29819093
"286",2,"walking upstairs","tBodyAcc-mean()-X",0.26963228
"287",2,"walking upstairs","tBodyAcc-mean()-X",0.19648111
"288",2,"walking upstairs","tBodyAcc-mean()-X",0.19518889
"289",2,"walking upstairs","tBodyAcc-mean()-X",0.24200036
"290",2,"walking upstairs","tBodyAcc-mean()-X",0.31856167
"291",2,"walking upstairs","tBodyAcc-mean()-X",0.28637788
"292",2,"walking upstairs","tBodyAcc-mean()-X",0.26149147
"293",2,"walking upstairs","tBodyAcc-mean()-X",0.25438287
"294",2,"walking upstairs","tBodyAcc-mean()-X",0.22326915
"295",2,"walking upstairs","tBodyAcc-mean()-X",0.21223054
"296",2,"walking upstairs","tBodyAcc-mean()-X",0.37772556
"297",2,"walking upstairs","tBodyAcc-mean()-X",0.36081239
"298",2,"walking upstairs","tBodyAcc-mean()-X",0.25631314
"299",2,"walking upstairs","tBodyAcc-mean()-X",0.26294232
"300",2,"walking upstairs","tBodyAcc-mean()-X",0.27685853
"301",2,"walking upstairs","tBodyAcc-mean()-X",0.24514236
"302",2,"walking upstairs","tBodyAcc-mean()-X",0.19783456
"303",4,"standing","tBodyAcc-mean()-X",0.19918776
"304",4,"standing","tBodyAcc-mean()-X",0.28638505
"305",4,"standing","tBodyAcc-mean()-X",0.30882643
"306",4,"standing","tBodyAcc-mean()-X",0.25756859
"307",4,"standing","tBodyAcc-mean()-X",0.25955873
"308",4,"standing","tBodyAcc-mean()-X",0.28314011
"309",4,"standing","tBodyAcc-mean()-X",0.26517313
"310",4,"standing","tBodyAcc-mean()-X",0.27008378
"311",4,"standing","tBodyAcc-mean()-X",0.28273831
"312",4,"standing","tBodyAcc-mean()-X",0.28113989
"313",4,"standing","tBodyAcc-mean()-X",0.28014898
"314",4,"standing","tBodyAcc-mean()-X",0.2817674
"315",4,"standing","tBodyAcc-mean()-X",0.2842585
"316",4,"standing","tBodyAcc-mean()-X",0.28260885
"317",4,"standing","tBodyAcc-mean()-X",0.27944946
"318",4,"standing","tBodyAcc-mean()-X",0.26896048
"319",4,"standing","tBodyAcc-mean()-X",0.33525867
"320",4,"standing","tBodyAcc-mean()-X",0.27186857
"321",4,"standing","tBodyAcc-mean()-X",0.28200991
"322",4,"standing","tBodyAcc-mean()-X",0.27568858
"323",4,"standing","tBodyAcc-mean()-X",0.26911817
"324",4,"standing","tBodyAcc-mean()-X",0.2734611
"325",4,"standing","tBodyAcc-mean()-X",0.27321225
"326",4,"standing","tBodyAcc-mean()-X",0.27596953
"327",4,"standing","tBodyAcc-mean()-X",0.27963328
"328",4,"standing","tBodyAcc-mean()-X",0.27581383
"329",4,"standing","tBodyAcc-mean()-X",0.27380433
"330",4,"standing","tBodyAcc-mean()-X",0.30611912
"331",4,"sitting","tBodyAcc-mean()-X",0.19014289
"332",4,"sitting","tBodyAcc-mean()-X",0.28846121
"333",4,"sitting","tBodyAcc-mean()-X",0.28155688
